Amount,Description,Place
"360,000 ֏ monthly","2 room apartment in a new building, Paronyan Street, 80 sq.m., 12/14 floor, designer renovation","Kentron, 2 rm., 80 sq.m., 12/14 floor"
"300,000 ֏ monthly","3 room apartment in a new building on Lvovyan Street, 95 sq.m., 11/15 floor, high ceilings","Nor Nork, 3 rm., 95 sq.m., 11/15 floor"
"330,000 ֏ monthly","2 room apartment in a new building on Arshakunyats Avenue, 60 sq.m., 8/18 floor, high ceilings","Kentron, 2 rm., 60 sq.m., 8/18 floor"
"450,000 ֏ monthly","3 room apartment in a new building on Hrachya Nersisyan Street, 100 sq.m., 7/17 floor, 2 bathrooms","Kanaker-Zeytun, 3 rm., 100 sq.m., 7/17 floor"
"200,000 ֏ monthly","3 room apartment in Davtashen 1st Block, 68 sq.m., 4/14 floor, euro renovation","Davtashen, 3 rm., 68 sq.m., 4/14 floor"
"300,000 ֏ monthly","3 room apartment in a new building on Anastas Mikoyan Street, 60 sq.m., 14/17 floor, high ceilings","Davtashen, 3 rm., 60 sq.m., 14/17 floor"
"250,000 ֏ monthly","3 room apartment, Հայկ Գյուլիքևխյանի փողոց, 60 sq.m., 3/5 floor, high ceilings, cosmetic renovation","Nor Nork, 3 rm., 60 sq.m., 3/5 floor"
"400,000 ֏ monthly","4 room apartment in a new building on Arzumanyan Street, 77 sq.m., 2/12 floor, designer renovation","Ajapnyak, 4 rm., 77 sq.m., 2/12 floor"
"$2,000 monthly","3 room apartment in a new building, Northern Avenue, 100 sq.m., 5/12 floor, 2 bathrooms","Kentron, 3 rm., 100 sq.m., 5/12 floor"
"$1,200 monthly","3 room apartment on Sarmen Street, 90 sq.m., second to last floor, designer renovation","Kentron, 3 rm., 90 sq.m., 5/6 floor"
"185,000 ֏ monthly","4 room apartment on Dro Street, 100 sq.m.","Kanaker-Zeytun, 4 rm., 100 sq.m., 5/5 floor"
"$1,000 monthly","2 room apartment on Mashtots Avenue, 65 sq.m., 2/5 floor, high ceilings, euro renovation","Kentron, 2 rm., 65 sq.m., 2/5 floor"
"$1,300 monthly","2 room apartment in a new building on Nalbandyan Street, 80 sq.m., 4/10 floor, high ceilings","Kentron, 2 rm., 80 sq.m., 4/10 floor"
"350,000 ֏ monthly","2 room apartment in a new building on Leningradyan Street, 56 sq.m., 9/14 floor, designer renovation","Ajapnyak, 2 rm., 56 sq.m., 9/14 floor"
"$1,500 monthly","3 room apartment in a new building on Tsitsernakaberd Highway, 117 sq.m., 2/20 floor, 2 bathrooms","Ajapnyak, 3 rm., 117 sq.m., 2/20 floor"
"270,000 ֏ monthly","2 room apartment, Admiral Isakov Avenue, 50 sq.m., 6/9 floor, high ceilings, designer renovation","Malatia-Sebastia, 2 rm., 50 sq.m., 6/9 floor"
"320,000 ֏ monthly","2 room apartment in a new building, Fuchik Street, 70 sq.m., 9/14 floor, designer renovation","Ajapnyak, 2 rm., 70 sq.m., 9/14 floor"
"290,000 ֏ monthly","3 room apartment in a new building, Arzumanyan Street, 75 sq.m., high ceilings, euro renovation","Davtashen, 3 rm., 75 sq.m., 3/3 floor"
"650,000 ֏ monthly","3 room apartment, Pushkin Street, 90 sq.m., 3/5 floor, high ceilings, major renovation","Kentron, 3 rm., 90 sq.m., 3/5 floor"
"300,000 ֏ monthly","2 room apartment in a new building on Arzumanyan Street, 58 sq.m., 8/12 floor, designer renovation","Ajapnyak, 2 rm., 58 sq.m., 8/12 floor"
"$1,400 monthly","3 room apartment in a new building on Rostom street, 85 sq.m., 7/10 floor, 2 bathrooms","Kentron, 3 rm., 85 sq.m., 7/10 floor"
"300,000 ֏ monthly","2 room apartment on Tigran Mets Avenue, 54 sq.m., 2/5 floor, high ceilings, designer renovation","Kentron, 2 rm., 54 sq.m., 2/5 floor"
"350,000 ֏ monthly","2 room apartment, Vardananc Street 2nd Lane, 50 sq.m., 3/10 floor, designer renovation","Kentron, 2 rm., 50 sq.m., 3/10 floor"
"$1,100 monthly","2 room apartment, Moskovyan Street, 50 sq.m., 3/8 floor, designer renovation","Kentron, 2 rm., 50 sq.m., 3/8 floor"
"$1,300 monthly","3 room apartment in a new building on Hayrik Muradyan Street, 140 sq.m., 14/18 floor, high ceilings","Arabkir, 3 rm., 140 sq.m., 14/18 floor"
"300,000 ֏ monthly","2 room apartment in a new building, Nikoghayos Adonts Street, 48 sq.m., 2/8 floor","Arabkir, 2 rm., 48 sq.m., 2/8 floor"
"$1,300 monthly","2 room apartment in a new building, Pavstos Buzand Street, 60 sq.m., designer renovation","Kentron, 2 rm., 60 sq.m., 5/5 floor"
"320,000 ֏ monthly","3 room apartment on Tigran Mets Avenue, 90 sq.m., 3/5 floor, high ceilings, designer renovation","Kentron, 3 rm., 90 sq.m., 3/5 floor"
"430,000 ֏ monthly","3 room apartment in a new building, Վահան Տերյանի փողոց, 90 sq.m., 5/7 floor, 2 bathrooms","Kentron, 3 rm., 90 sq.m., 5/7 floor"
"$1,000 monthly","2 room apartment on Yeznik Koghbatsi street, 50 sq.m., designer renovation","Kentron, 2 rm., 50 sq.m., 9/9 floor"
"450,000 ֏ monthly","3 room apartment, Amiryan Street, 130 sq.m., 2/5 floor, 2 bathrooms, high ceilings","Kentron, 3 rm., 130 sq.m., 2/5 floor"
"650,000 ֏ monthly","2 room apartment in a new building, Արշակունյաց պողոտա 18/4, 57 sq.m., 4/18 floor, high ceilings","Kentron, 2 rm., 57 sq.m., 4/18 floor"
"120,000 ֏ monthly","1 room apartment on Moldovakan Street, 18 sq.m., 6/8 floor, cosmetic renovation, stone building","Nor Nork, 1 rm., 18 sq.m., 6/8 floor"
"350,000 ֏ monthly","2 room apartment in a new building on Davit Anhaght Street, 63 sq.m., 14/17 floor, high ceilings","Kanaker-Zeytun, 2 rm., 63 sq.m., 14/17 floor"
"490,000 ֏ monthly","2 room apartment in a new building on Amiryan Street, 60 sq.m., 9/11 floor, high ceilings","Kentron, 2 rm., 60 sq.m., 9/11 floor"
"220,000 ֏ monthly","2 room apartment on Halabyan Street, 51 sq.m., major renovation, stone building","Ajapnyak, 2 rm., 51 sq.m., 4/4 floor"
"250,000 ֏ monthly","3 room apartment on Mantashyan Street, 78 sq.m., second to last floor, euro renovation","Shengavit, 3 rm., 78 sq.m., 4/5 floor"
"400,000 ֏ monthly","4 room apartment in a new building on Arghutyan Street, 110 sq.m., 10/14 floor, 2 bathrooms","Arabkir, 4 rm., 110 sq.m., 10/14 floor"
"210,000 ֏ monthly","2 room apartment in a new building on Gevorg Jahukyan Street, 58 sq.m., 4/6 floor, high ceilings","Kentron, 2 rm., 58 sq.m., 4/6 floor"
"220,000 ֏ monthly","3 room apartment on Lvovyan Street Lane, 65 sq.m., second to last floor, euro renovation","Nor Nork, 3 rm., 65 sq.m., 3/4 floor"
"250,000 ֏ monthly","3 room apartment in a new building on Arakelyan Street, 84 sq.m., 1/2 floor, high ceilings","Ajapnyak, 3 rm., 84 sq.m., 1/2 floor"
"$1,200 monthly","2 room apartment in a new building, Amiryan Street, 70 sq.m., 14/18 floor, designer renovation","Kentron, 2 rm., 70 sq.m., 14/18 floor"
"280,000 ֏ monthly","3 room apartment in a new building on Orbeli Brothers street, 105 sq.m., 2/9 floor","Arabkir, 3 rm., 105 sq.m., 2/9 floor"
"200,000 ֏ monthly","2 room apartment in a new building on Kalinin Street, 42 sq.m., 6/11 floor, euro renovation","Dilijan, 2 rm., 42 sq.m., 6/11 floor"
"$1,200 monthly","3 room apartment in a new building on Verin Antarayin Street, 83 sq.m., second to last floor","Kentron, 3 rm., 83 sq.m., 7/8 floor"
"430,000 ֏ monthly","3 room apartment in a new building, Nersisyan Street Blind Alley, 97 sq.m., 8/19 floor, 2 bathrooms","Kanaker-Zeytun, 3 rm., 97 sq.m., 8/19 floor"
"320,000 ֏ monthly","2 room apartment on Meliq Meliqyan Street Lane, 57 sq.m., 7/9 floor, designer renovation","Kanaker-Zeytun, 2 rm., 57 sq.m., 7/9 floor"
"$2,000 monthly","3 room apartment on Ghazar Parpetsi Street, 90 sq.m., second to last floor, designer renovation","Kentron, 3 rm., 90 sq.m., 4/5 floor"
"$1,400 monthly","4 room apartment in a new building, Hamo Sahyan Street, 135 sq.m., 2 bathrooms, high ceilings","Arabkir, 4 rm., 135 sq.m., 3/3 floor"
"$1,500 monthly","2 room apartment in a new building on Pavstos Buzand Street, 50 sq.m., 6/14 floor, high ceilings","Kentron, 2 rm., 50 sq.m., 6/14 floor"
"$1,000 monthly","2 room apartment, Hanrapetutyan Street, 65 sq.m., high ceilings, designer renovation, stone building","Kentron, 2 rm., 65 sq.m., 4/4 floor"
"400,000 ֏ monthly","2 room apartment in a new building on Yeznik Koghbatsi street, 55 sq.m., 10/16 floor","Kentron, 2 rm., 55 sq.m., 10/16 floor"
"280,000 ֏ monthly","3 room apartment, Minas Avetiyan Street, 60 sq.m., 2/5 floor, designer renovation","Arabkir, 3 rm., 60 sq.m., 2/5 floor"
"350,000 ֏ monthly","2 room apartment on Baghramyan Avenue, 70 sq.m., 2/5 floor, designer renovation, stone building","Kentron, 2 rm., 70 sq.m., 2/5 floor"
"$1,600 monthly","3 room apartment, Մաշտոցի պողոտա, 100 sq.m., 2 bathrooms, high ceilings, designer renovation","Kentron, 3 rm., 100 sq.m., 5/5 floor"
"270,000 ֏ monthly","3 room apartment in a new building, Rubinyants Street, 75 sq.m., 7/16 floor, designer renovation","Kanaker-Zeytun, 3 rm., 75 sq.m., 7/16 floor"
"$1,200 monthly","3 room apartment in a new building, Sayat-Nova Avenue, 120 sq.m., 13/17 floor, 2 bathrooms","Kentron, 3 rm., 120 sq.m., 13/17 floor"
"330,000 ֏ monthly","2 room apartment in a new building, Arghutyan Street, 60 sq.m., second to last floor","Arabkir, 2 rm., 60 sq.m., 13/14 floor"
"350,000 ֏ monthly","3 room apartment in a new building, Nikoghayos Tigranyan Street, 75 sq.m., 2/12 floor","Arabkir, 3 rm., 75 sq.m., 2/12 floor"
"300,000 ֏ monthly","3 room apartment, Sundukyan Street, 90 sq.m., 4/7 floor, designer renovation","Arabkir, 3 rm., 90 sq.m., 4/7 floor"
"300,000 ֏ monthly","2 room apartment in a new building on Anastas Mikoyan street, 57 sq.m., 12/18 floor","Davtashen, 2 rm., 57 sq.m., 12/18 floor"
"$1,000 monthly","2 room apartment in a new building, Vahagn Davtiyan Street, 70 sq.m., 5/8 floor, designer renovation","Arabkir, 2 rm., 70 sq.m., 5/8 floor"
"350,000 ֏ monthly","2 room apartment in a new building on Vardanants Street, 55 sq.m., 6/16 floor, designer renovation","Kentron, 2 rm., 55 sq.m., 6/16 floor"
"$1,200 monthly","3 room apartment, Pushkin Street, 65 sq.m., high ceilings, designer renovation, stone building","Kentron, 3 rm., 65 sq.m., 4/4 floor"
"290,000 ֏ monthly","3 room apartment in a new building, Sasna Tsrer Street, 65 sq.m., designer renovation","Davtashen, 3 rm., 65 sq.m., 19/19 floor"
"$1,400 monthly","3 room apartment in a new building on Pushkin Street, 90 sq.m., 14/16 floor, high ceilings","Kentron, 3 rm., 90 sq.m., 14/16 floor"
"$1,200 monthly","2 room apartment in a new building on Pavstos Buzand Street, 58 sq.m., 8/15 floor","Kentron, 2 rm., 58 sq.m., 8/15 floor"
"$1,000 monthly","3 room apartment in a new building on Verin Antarayin Street, 65 sq.m., 3/5 floor, 2 bathrooms","Kentron, 3 rm., 65 sq.m., 3/5 floor"
"$1,000 monthly","2 room apartment in a new building on Charents street, 55 sq.m., second to last floor","Kentron, 2 rm., 55 sq.m., 9/10 floor"
"300,000 ֏ monthly","2 room apartment, Saryan Street, 56 sq.m., 2/5 floor, high ceilings, designer renovation","Kentron, 2 rm., 56 sq.m., 2/5 floor"
$850 monthly,"2 room apartment in a new building, Sebastia Street, 55 sq.m., 10/14 floor, high ceilings","Malatia-Sebastia, 2 rm., 55 sq.m., 10/14 floor"
"$1,400 monthly","3 room apartment in a new building, Nairi Zaryan Street, 120 sq.m., 3/16 floor, high ceilings","Arabkir, 3 rm., 120 sq.m., 3/16 floor"
"380,000 ֏ monthly","2 room apartment in a new building on Komitas Avenue, 70 sq.m., 10/18 floor, designer renovation","Arabkir, 2 rm., 70 sq.m., 10/18 floor"
"320,000 ֏ monthly","2 room apartment in a new building on Hrachya Nersisyan street, 70 sq.m., 15/18 floor","Arabkir, 2 rm., 70 sq.m., 15/18 floor"
"250,000 ֏ monthly","2 room apartment in a new building, Arno Babajanyan Street, 50 sq.m., 6/8 floor, designer renovation","Malatia-Sebastia, 2 rm., 50 sq.m., 6/8 floor"
"300,000 ֏ monthly","2 room apartment in a new building, Adonts Street, 45 sq.m., 7/10 floor, designer renovation","Arabkir, 2 rm., 45 sq.m., 7/10 floor"
"280,000 ֏ monthly","2 room apartment in a new building, Aram Khachatryan Street, 60 sq.m., 8/12 floor","Arabkir, 2 rm., 60 sq.m., 8/12 floor"
"450,000 ֏ monthly","3 room apartment in a new building, Tsarav Akhpyur Street, 110 sq.m., 7/9 floor, major renovation","Kanaker-Zeytun, 3 rm., 110 sq.m., 7/9 floor"
"450,000 ֏ monthly","2 room apartment in a new building, Արգիշտի, 55 sq.m., 7/15 floor, multiple balconies","Kentron, 2 rm., 55 sq.m., 7/15 floor"
"$1,200 monthly","2 room apartment in a new building, Aram Street, 65 sq.m., designer renovation","Kentron, 2 rm., 65 sq.m., 14/14 floor"
"380,000 ֏ monthly","2 room apartment in a new building, Rostom Street, 70 sq.m., 7/15 floor, designer renovation","Kentron, 2 rm., 70 sq.m., 7/15 floor"
"$1,000 monthly","2 room apartment, Saryan Street, 50 sq.m., 7/9 floor, designer renovation","Kentron, 2 rm., 50 sq.m., 7/9 floor"
"350,000 ֏ monthly","3 room apartment in a new building on Aghbyur Serob Street, 78 sq.m., 3/8 floor, high ceilings","Arabkir, 3 rm., 78 sq.m., 3/8 floor"
"$1,200 monthly","3 room apartment in a new building on Komitas Avenue, 110 sq.m., 9/14 floor, 2 bathrooms","Arabkir, 3 rm., 110 sq.m., 9/14 floor"
"400,000 ֏ monthly","2 room apartment in a new building, Nersisyan Street Blind Alley, 60 sq.m., 17/19 floor, 2 bathrooms","Kanaker-Zeytun, 2 rm., 60 sq.m., 17/19 floor"
"350,000 ֏ monthly","2 room apartment in a new building, Nersisyan Street Blind Alley, 71 sq.m., 16/18 floor","Kanaker-Zeytun, 2 rm., 71 sq.m., 16/18 floor"
"500,000 ֏ monthly","3 room apartment on Armen Tigranyan Street, 78 sq.m., 1/3 floor, euro renovation, stone building","Kanaker-Zeytun, 3 rm., 78 sq.m., 1/3 floor"
"280,000 ֏ monthly","2 room apartment, Komitas Avenue, 50 sq.m., high ceilings, designer renovation, stone building","Arabkir, 2 rm., 50 sq.m., 5/5 floor"
"220,000 ֏ monthly","2 room apartment in a new building on Fuchik Street, 54 sq.m., 2/14 floor, euro renovation","Ajapnyak, 2 rm., 54 sq.m., 2/14 floor"
"240,000 ֏ monthly","2 room apartment, Admiral Isakov Avenue, 45 sq.m., designer renovation","Kentron, 2 rm., 45 sq.m., 9/9 floor"
"350,000 ֏ monthly","3 room apartment in a new building on Artem Mikoyan street, 75 sq.m., 3/17 floor","Davtashen, 3 rm., 75 sq.m., 3/17 floor"
"120,000 ֏ monthly","1 room apartment on Moldovakan Street, 18 sq.m., 6/8 floor, cosmetic renovation, stone building","Nor Nork, 1 rm., 18 sq.m., 6/8 floor"
"$1,700 monthly","3 room apartment, Pushkin Street, 120 sq.m., second to last floor, 2 bathrooms, multiple balconies","Kentron, 3 rm., 120 sq.m., 8/9 floor"
"350,000 ֏ monthly","2 room apartment, Nalbandyan Street, 45 sq.m., high ceilings, designer renovation, stone building","Kentron, 2 rm., 45 sq.m., 5/5 floor"
"250,000 ֏ monthly","2 room apartment in a new building, Anastas Mikoyan Street, 50 sq.m., 6/15 floor","Davtashen, 2 rm., 50 sq.m., 6/15 floor"
"300,000 ֏ monthly","2 room apartment in a new building, Argishti Street, 60 sq.m., second to last floor","Kentron, 2 rm., 60 sq.m., 14/15 floor"
"80,000 ֏ monthly","1 room apartment in a new building, kvartal Zoravar Andranik, 48 sq.m., partial renovation","Martuni, 1 rm., 48 sq.m., 3/3 floor"
"200,000 ֏ monthly","2 room apartment in a new building in Norashen Quarter, 56 sq.m., 8/12 floor, high ceilings","Ajapnyak, 2 rm., 56 sq.m., 8/12 floor"
"$1,600 monthly","3 room apartment in a new building on Saryan Street, 90 sq.m., 5/7 floor, designer renovation","Kentron, 3 rm., 90 sq.m., 5/7 floor"
"350,000 ֏ monthly","2 room apartment in a new building, Vardanants Street, 48 sq.m., second to last floor","Kentron, 2 rm., 48 sq.m., 13/14 floor"
"270,000 ֏ monthly","2 room apartment, Hanrapetutyan Street, 50 sq.m., 4/8 floor, euro renovation","Kentron, 2 rm., 50 sq.m., 4/8 floor"
"300,000 ֏ monthly","2 room apartment in a new building, Nikoghayos Adonts Street, 60 sq.m., 5/9 floor","Arabkir, 2 rm., 60 sq.m., 5/9 floor"
"350,000 ֏ monthly","2 room apartment in a new building, Sayat-Nova Avenue, 60 sq.m., designer renovation, stone building","Kentron, 2 rm., 60 sq.m., 7/7 floor"
"$2,200 monthly","4 room apartment in a new building on Yekmalyan Street, 130 sq.m., second to last floor, 2 bathrooms","Kentron, 4 rm., 130 sq.m., 15/16 floor"
"290,000 ֏ monthly","2 room apartment, Baghramyan Avenue, 50 sq.m., 5/9 floor, high ceilings, designer renovation","Kentron, 2 rm., 50 sq.m., 5/9 floor"
"370,000 ֏ monthly","2 room apartment, Tigran Mets Avenue, 45 sq.m., 6/9 floor, major renovation","Kentron, 2 rm., 45 sq.m., 6/9 floor"
"250,000 ֏ monthly","2 room apartment in a new building on Gyurjyan Street, 52 sq.m., 7/12 floor, high ceilings","Nor Nork, 2 rm., 52 sq.m., 7/12 floor"
"440,000 ֏ monthly","3 room apartment in a new building, Davtashen 4th Street, 80 sq.m., 14/16 floor, designer renovation","Davtashen, 3 rm., 80 sq.m., 14/16 floor"
"$1,200 monthly","3 room apartment in a new building on Verin Antarayin street, 60 sq.m., 2/8 floor","Kentron, 3 rm., 60 sq.m., 2/8 floor"
"330,000 ֏ monthly","2 room apartment in a new building, Fuchik Street, 65 sq.m., 7/17 floor, designer renovation","Ajapnyak, 2 rm., 65 sq.m., 7/17 floor"
"300,000 ֏ monthly","2 room apartment in a new building, Անաստաս Միկոյան փողոց, 52 sq.m., 9/15 floor, designer renovation","Davtashen, 2 rm., 52 sq.m., 9/15 floor"
"380,000 ֏ monthly","3 room apartment on Karp Khachvankyan Street, 110 sq.m., 4/9 floor, 2 bathrooms, euro renovation","Arabkir, 3 rm., 110 sq.m., 4/9 floor"
"330,000 ֏ monthly","2 room apartment, Հովհաննես Թումանյանի փողոց, 50 sq.m., 4/6 floor, high ceilings","Kentron, 2 rm., 50 sq.m., 4/6 floor"
"360,000 ֏ monthly","2 room apartment in a new building on Argishti street, 60 sq.m., 8/14 floor, designer renovation","Kentron, 2 rm., 60 sq.m., 8/14 floor"
"400,000 ֏ monthly","3 room apartment in a new building on Hrachya Nersisyan Street, 95 sq.m., 15/18 floor, 2 bathrooms","Arabkir, 3 rm., 95 sq.m., 15/18 floor"
"$1,600 monthly","2 room apartment in a new building, Yeznik Koghbatsi Street, 60 sq.m., 10/20 floor, major renovation","Kentron, 2 rm., 60 sq.m., 10/20 floor"
"$2,200 monthly","4 room apartment in a new building, Hakob Paronyan Street, 135 sq.m., 10/14 floor, 2 bathrooms","Kentron, 4 rm., 135 sq.m., 10/14 floor"
"$1,800 monthly","3 room apartment in a new building on Teryan Street, 135 sq.m., second to last floor, 2 bathrooms","Kentron, 3 rm., 135 sq.m., 11/12 floor"
"285,000 ֏ monthly","2 room apartment in a new building on Malkhasyants Street, 48 sq.m., 2/14 floor, high ceilings","Arabkir, 2 rm., 48 sq.m., 2/14 floor"
"250,000 ֏ monthly","2 room apartment on Komitas Avenue, 48 sq.m., 3/5 floor, high ceilings, multiple balconies","Arabkir, 2 rm., 48 sq.m., 3/5 floor"
$720 monthly,"2 room apartment in a new building, Tsitsernakaberd Highway, 78 sq.m., 10/18 floor, high ceilings","Kentron, 2 rm., 78 sq.m., 10/18 floor"
"650,000 ֏ monthly","3 room apartment in a new building, Rostom Street, 150 sq.m., 7/9 floor, designer renovation","Kentron, 3 rm., 150 sq.m., 7/9 floor"
"$1,500 monthly","3 room apartment, Yeznik Koghbatsi Street, 107 sq.m., 3/9 floor, 2 bathrooms, designer renovation","Kentron, 3 rm., 107 sq.m., 3/9 floor"
"400,000 ֏ monthly","2 room apartment in a new building on Rostom Street, 70 sq.m., second to last floor","Kentron, 2 rm., 70 sq.m., 14/15 floor"
$800 monthly,"2 room apartment in a new building, Komitas Avenue, 68 sq.m., high ceilings, designer renovation","Arabkir, 2 rm., 68 sq.m., 6/6 floor"
"$4,000 monthly","3 room apartment in a new building, Vahan Teryan Street, 100 sq.m., 16/24 floor, 3+ bathrooms","Kentron, 3 rm., 100 sq.m., 16/24 floor"
"650,000 ֏ monthly","2 room apartment in a new building, Argishti Street, 82 sq.m., 2/15 floor, 2 bathrooms","Kentron, 2 rm., 82 sq.m., 2/15 floor"
"400,000 ֏ monthly","3 room apartment on Shinararner Street, 103 sq.m., 2 bathrooms, major renovation","Kentron, 3 rm., 103 sq.m., 9/9 floor"
"350,000 ֏ monthly","2 room apartment in a new building, Բնակելի համալիր Բյուրեղ, 52 sq.m., 4/18 floor","Kentron, 2 rm., 52 sq.m., 4/18 floor"
"400,000 ֏ monthly","3 room apartment in a new building on Marshal Baghramyan Avenue 3rd Lane, 100 sq.m.","Arabkir, 3 rm., 100 sq.m., 5/6 floor"
"$1,500 monthly","3 room apartment on Paronyan Street, 102 sq.m., 8/14 floor, 2 bathrooms, multiple balconies","Kentron, 3 rm., 102 sq.m., 8/14 floor"
"300,000 ֏ monthly","2 room apartment on Ghazar Parpetsi Street, 45 sq.m., 2/9 floor, euro renovation","Kentron, 2 rm., 45 sq.m., 2/9 floor"
"$1,100 monthly","3 room apartment in a new building, Ծարավ Աղբյուրի փողոց, 115 sq.m., 3/8 floor, designer renovation","Kanaker-Zeytun, 3 rm., 115 sq.m., 3/8 floor"
"400,000 ֏ monthly","2 room apartment in a new building on Sebastia Street, 60 sq.m., 12/14 floor, designer renovation","Malatia-Sebastia, 2 rm., 60 sq.m., 12/14 floor"
"200,000 ֏ monthly","Spacious 1 room apartment on Moskovyan Street, 85 sq.m., 4/9 floor, euro renovation","Kentron, 1 rm., 85 sq.m., 4/9 floor"
"270,000 ֏ monthly","2 room apartment, Anastas Mikoyan Street, 58 sq.m., 7/18 floor, designer renovation","Davtashen, 2 rm., 58 sq.m., 7/18 floor"
"210,000 ֏ monthly","2 room apartment in a new building on Gevorg Jahukyan Street, 58 sq.m., 4/6 floor, high ceilings","Kentron, 2 rm., 58 sq.m., 4/6 floor"
"420,000 ֏ monthly","2 room apartment in a new building on Rostom Street, 53 sq.m., 8/14 floor, high ceilings","Kentron, 2 rm., 53 sq.m., 8/14 floor"
"€1,800 monthly","3 room apartment on Yeznik Koghbatsi Street, 86 sq.m., 6/9 floor, 2 bathrooms, major renovation","Kentron, 3 rm., 86 sq.m., 6/9 floor"
"$1,700 monthly","3 room apartment in a new building, Մեսրոպ Մաշտոցի պողոտա, 115 sq.m., 10/12 floor, 2 bathrooms","Kentron, 3 rm., 115 sq.m., 10/12 floor"
"$2,000 monthly","3 room apartment in a new building on Pavstos Buzand Street, 98 sq.m., 4/14 floor, high ceilings","Kentron, 3 rm., 98 sq.m., 4/14 floor"
"320,000 ֏ monthly","2 room apartment in a new building on Adonts Street, 53 sq.m., 7/9 floor, major renovation","Arabkir, 2 rm., 53 sq.m., 7/9 floor"
"360,000 ֏ monthly","3 room apartment in a new building on Monte Melkonyan Street, 111 sq.m., second to last floor","Malatia-Sebastia, 3 rm., 111 sq.m., 12/13 floor"
"350,000 ֏ monthly","2 room apartment on Charents Street, 53 sq.m., second to last floor, high ceilings","Kentron, 2 rm., 53 sq.m., 3/4 floor"
"250,000 ֏ monthly","3 room apartment in a new building on 26 Commissioners Street, 91 sq.m., 2/6 floor, euro renovation","Dilijan, 3 rm., 91 sq.m., 2/6 floor"
"300,000 ֏ monthly","3 room apartment in a new building, Չեխովի փողոց, 60 sq.m., 8/11 floor, designer renovation","Kentron, 3 rm., 60 sq.m., 8/11 floor"
"$3,000 monthly","4 room apartment in a new building, Amiryan Street, 110 sq.m., second to last floor, 2 bathrooms","Kentron, 4 rm., 110 sq.m., 8/9 floor"
"$2,500 monthly","3 room apartment in a new building, Aram Street, 90 sq.m., 5/10 floor, major renovation","Kentron, 3 rm., 90 sq.m., 5/10 floor"
"$1,200 monthly","2 room apartment in a new building on Khorenatsi street, 60 sq.m., 13/15 floor, designer renovation","Kentron, 2 rm., 60 sq.m., 13/15 floor"
"400,000 ֏ monthly","4 room apartment, Vratsakan Street, 120 sq.m., second to last floor, 2 bathrooms","Arabkir, 4 rm., 120 sq.m., 4/5 floor"
"270,000 ֏ monthly","2 room apartment on Abovyan Street, 50 sq.m., high ceilings, cosmetic renovation, stone building","Kentron, 2 rm., 50 sq.m., 5/5 floor"
"$1,300 monthly","3 room apartment in a new building on Pavstos Buzand Street, 80 sq.m., 8/21 floor, high ceilings","Kentron, 3 rm., 80 sq.m., 8/21 floor"
"$3,000 monthly","3 room apartment in a new building on Pavstos Buzand Street, 110 sq.m., 3/12 floor, 2 bathrooms","Kentron, 3 rm., 110 sq.m., 3/12 floor"
"140,000 ֏ monthly","1 room apartment on Leningradyan Street, 37 sq.m., 2/5 floor, cosmetic renovation, stone building","Ajapnyak, 1 rm., 37 sq.m., 2/5 floor"
"$4,500 monthly","4 room apartment in a new building on Pavstos Buzand Street, 145 sq.m., 3/12 floor, 3+ bathrooms","Kentron, 4 rm., 145 sq.m., 3/12 floor"
"$1,100 monthly","2 room apartment in a new building on Pavstos Buzand Street, 65 sq.m., 6/18 floor, euro renovation","Kentron, 2 rm., 65 sq.m., 6/18 floor"
"$2,300 monthly","2 room apartment in a new building on Pushkin Street, 80 sq.m., second to last floor, 2 bathrooms","Kentron, 2 rm., 80 sq.m., 19/20 floor"
"450,000 ֏ monthly","4 room apartment on Sundukyan Street, 200 sq.m., 3/5 floor, 3+ bathrooms, euro renovation","Kentron, 4 rm., 200 sq.m., 3/5 floor"
"450,000 ֏ monthly","2 room apartment in a new building on Tsitsernakaberd Highway, 70 sq.m., 7/25 floor","Kentron, 2 rm., 70 sq.m., 7/25 floor"
"300,000 ֏ monthly","2 room apartment in a new building on Griboyedov Street, 70 sq.m., 4/16 floor, designer renovation","Arabkir, 2 rm., 70 sq.m., 4/16 floor"
"300,000 ֏ monthly","3 room apartment in a new building on Nikoghayos Adonts Street, 60 sq.m., 7/10 floor","Arabkir, 3 rm., 60 sq.m., 7/10 floor"
"$1,500 monthly","2 room apartment in a new building on Pavstos Buzand Street, 65 sq.m., 11/16 floor","Kentron, 2 rm., 65 sq.m., 11/16 floor"
"$2,500 monthly","3 room apartment in a new building on Baghramyan Avenue, 120 sq.m., 8/17 floor, 2 bathrooms","Kentron, 3 rm., 120 sq.m., 8/17 floor"
"$1,500 monthly","2 room apartment in a new building on Pavstos Buzand Street, 65 sq.m., 11/16 floor, major renovation","Kentron, 2 rm., 65 sq.m., 11/16 floor"
"350,000 ֏ monthly","4 room apartment in a new building in Davtashen 4th Block, 100 sq.m., 9/11 floor","Davtashen, 4 rm., 100 sq.m., 9/11 floor"
"500,000 ֏ monthly","3 room apartment in a new building on Anastas Mikoyan Street, 110 sq.m., 14/18 floor","Davtashen, 3 rm., 110 sq.m., 14/18 floor"
"400,000 ֏ monthly","3 room apartment in a new building on Rostom Street, 65 sq.m., 5/16 floor, designer renovation","Kentron, 3 rm., 65 sq.m., 5/16 floor"
